0x00091360: aaa  ; call ebx ; 
0x000980c8: aam 0xFA ; call dword [eax-0x18] ; 
0x000994b8: aam 0xFA ; call dword [eax-0x18] ; 
0x0009a6d9: aam 0xFA ; call dword [eax-0x18] ; 
0x0009a982: aam 0xFA ; call dword [eax-0x18] ; 
0x0009c12a: aam 0xFA ; call dword [eax-0x18] ; 
0x00183ff1: aam 0xFB ; call dword [ebx] ; 
0x00164b6d: aam 0xFC ; call dword [eax-0x0F00032B] ; 
0x00166691: aas  ; jmp eax ; 
0x0002349f: adc ah, bh ; call dword [eax-0x73] ; 
0x0007671d: adc al, 0x01 ; ret  ; 
0x000a66e3: adc al, 0x01 ; retn 0x048D ; 
0x0002d6a9: adc al, 0x01 ; retn 0xD189 ; 
0x000a111d: adc al, 0x01 ; retn 0xF889 ; 
0x000da058: adc al, 0x09 ; retn 0x4B74 ; 
0x000db9d8: adc al, 0x09 ; retn 0x4B74 ; 
0x00166458: adc al, 0x0B ; call esp ; 
0x00108f95: adc al, 0x24 ; call dword [eax+0x10] ; 
0x00109045: adc al, 0x24 ; call dword [eax+0x10] ; 
0x0018a06c: adc al, 0x24 ; jmp dword [edi] ; 
0x0011fb0e: adc al, 0x24 ; ret  ; 
0x0004781c: adc al, 0x29 ; ret  ; 
0x000eedeb: adc al, 0x29 ; retn 0xD789 ; 
0x000a67f4: adc al, 0x29 ; retn 0xF329 ; 
0x00047f5b: adc al, 0x39 ; ret  ; 
0x00078f38: adc al, 0x39 ; ret  ; 
0x000eeaf3: adc al, 0x39 ; ret  ; 
0x000685d5: adc al, 0x39 ; retn 0x850F ; 
0x0016b26f: adc al, 0x41 ; ret  ; 
0x0016b42c: adc al, 0x41 ; ret  ; 
0x0016b674: adc al, 0x41 ; ret  ; 
0x0016b6a0: adc al, 0x41 ; ret  ; 
0x0016b6b7: adc al, 0x41 ; ret  ; 
0x0016b756: adc al, 0x41 ; ret  ; 
0x0016b7f4: adc al, 0x41 ; ret  ; 
0x0016b8ad: adc al, 0x41 ; ret  ; 
0x0016ba69: adc al, 0x41 ; ret  ; 
0x0016baf2: adc al, 0x41 ; ret  ; 
0x0016bc97: adc al, 0x41 ; ret  ; 
0x0016bcd7: adc al, 0x41 ; ret  ; 
0x0016bd36: adc al, 0x41 ; ret  ; 
0x0016bdac: adc al, 0x41 ; ret  ; 
0x0016be6b: adc al, 0x41 ; ret  ; 
0x0016beaa: adc al, 0x41 ; ret  ; 
0x0016bf88: adc al, 0x41 ; ret  ; 
0x0016c06e: adc al, 0x41 ; ret  ; 
0x0016c0c0: adc al, 0x41 ; ret  ; 
0x0016c0d8: adc al, 0x41 ; ret  ; 
0x0016c149: adc al, 0x41 ; ret  ; 
0x0016c1c4: adc al, 0x41 ; ret  ; 
0x0016c200: adc al, 0x41 ; ret  ; 
0x0016c290: adc al, 0x41 ; ret  ; 
0x0016c2b7: adc al, 0x41 ; ret  ; 
0x0016c328: adc al, 0x41 ; ret  ; 
0x0016c3a4: adc al, 0x41 ; ret  ; 
0x0016c3e0: adc al, 0x41 ; ret  ; 
0x0016c47c: adc al, 0x41 ; ret  ; 
0x0016c4b8: adc al, 0x41 ; ret  ; 
0x0016c530: adc al, 0x41 ; ret  ; 
0x0016c570: adc al, 0x41 ; ret  ; 
0x0016c698: adc al, 0x41 ; ret  ; 
0x0016c6d4: adc al, 0x41 ; ret  ; 
0x0016c828: adc al, 0x41 ; ret  ; 
0x0016c868: adc al, 0x41 ; ret  ; 
0x0016c94c: adc al, 0x41 ; ret  ; 
0x0016c98c: adc al, 0x41 ; ret  ; 
0x0016ca40: adc al, 0x41 ; ret  ; 
0x0016ca80: adc al, 0x41 ; ret  ; 
0x0016cba4: adc al, 0x41 ; ret  ; 
0x0016cbe4: adc al, 0x41 ; ret  ; 
0x0016cca0: adc al, 0x41 ; ret  ; 
0x0016cce0: adc al, 0x41 ; ret  ; 
0x0016ce05: adc al, 0x41 ; ret  ; 
0x0016ce88: adc al, 0x41 ; ret  ; 
0x0016ceef: adc al, 0x41 ; ret  ; 
0x0016cff9: adc al, 0x41 ; ret  ; 
0x0016d0b7: adc al, 0x41 ; ret  ; 
0x0016d0cd: adc al, 0x41 ; ret  ; 
0x0016d3ec: adc al, 0x41 ; ret  ; 
0x0016d508: adc al, 0x41 ; ret  ; 
0x0016d69e: adc al, 0x41 ; ret  ; 
0x0016d6dc: adc al, 0x41 ; ret  ; 
0x0016d78a: adc al, 0x41 ; ret  ; 
0x0016d90e: adc al, 0x41 ; ret  ; 
0x0016da66: adc al, 0x41 ; ret  ; 
0x0016dacd: adc al, 0x41 ; ret  ; 
0x0016e113: adc al, 0x41 ; ret  ; 
0x0016e306: adc al, 0x41 ; ret  ; 
0x0016e4e9: adc al, 0x41 ; ret  ; 
0x0016e66b: adc al, 0x41 ; ret  ; 
0x0016e7c1: adc al, 0x41 ; ret  ; 
0x0016e8bf: adc al, 0x41 ; ret  ; 
0x0016e948: adc al, 0x41 ; ret  ; 
0x0016e9a6: adc al, 0x41 ; ret  ; 
0x0016ea12: adc al, 0x41 ; ret  ; 
0x0016eaa8: adc al, 0x41 ; ret  ; 
0x0016eabe: adc al, 0x41 ; ret  ; 
0x0016ebc4: adc al, 0x41 ; ret  ; 
0x0016ec41: adc al, 0x41 ; ret  ; 
0x0016eccc: adc al, 0x41 ; ret  ; 
0x0016ece2: adc al, 0x41 ; ret  ; 
0x0016ecf7: adc al, 0x41 ; ret  ; 
0x0016eda5: adc al, 0x41 ; ret  ; 
0x0016eddc: adc al, 0x41 ; ret  ; 
0x0016f491: adc al, 0x41 ; ret  ; 
0x0016f4a6: adc al, 0x41 ; ret  ; 
0x0016fb71: adc al, 0x41 ; ret  ; 
0x0016fb86: adc al, 0x41 ; ret  ; 
0x0016fcf1: adc al, 0x41 ; ret  ; 
0x0016ff02: adc al, 0x41 ; ret  ; 
0x0016ffae: adc al, 0x41 ; ret  ; 
0x00170425: adc al, 0x41 ; ret  ; 
0x0017043a: adc al, 0x41 ; ret  ; 
0x00170543: adc al, 0x41 ; ret  ; 
0x00170615: adc al, 0x41 ; ret  ; 
0x001708f8: adc al, 0x41 ; ret  ; 
0x00170944: adc al, 0x41 ; ret  ; 
0x00170e86: adc al, 0x41 ; ret  ; 
0x00170f22: adc al, 0x41 ; ret  ; 
0x00170fd2: adc al, 0x41 ; ret  ; 
0x0017106f: adc al, 0x41 ; ret  ; 
0x00171244: adc al, 0x41 ; ret  ; 
0x001713b3: adc al, 0x41 ; ret  ; 
0x001713ca: adc al, 0x41 ; ret  ; 
0x00171420: adc al, 0x41 ; ret  ; 
0x00171910: adc al, 0x41 ; ret  ; 
0x00171a8f: adc al, 0x41 ; ret  ; 
0x00171aa6: adc al, 0x41 ; ret  ; 
0x00171afc: adc al, 0x41 ; ret  ; 
0x00172024: adc al, 0x41 ; ret  ; 
0x0017204a: adc al, 0x41 ; ret  ; 
0x00172061: adc al, 0x41 ; ret  ; 
0x00172077: adc al, 0x41 ; ret  ; 
0x001721e7: adc al, 0x41 ; ret  ; 
0x0017223d: adc al, 0x41 ; ret  ; 
0x001726e7: adc al, 0x41 ; ret  ; 
0x0017273b: adc al, 0x41 ; ret  ; 
0x0017278f: adc al, 0x41 ; ret  ; 
0x0017285b: adc al, 0x41 ; ret  ; 
0x00172965: adc al, 0x41 ; ret  ; 
0x00172aee: adc al, 0x41 ; ret  ; 
0x00172bcd: adc al, 0x41 ; ret  ; 
0x00172cce: adc al, 0x41 ; ret  ; 
0x00172e2e: adc al, 0x41 ; ret  ; 
0x001732b3: adc al, 0x41 ; ret  ; 
0x001732c9: adc al, 0x41 ; ret  ; 
0x001732e1: adc al, 0x41 ; ret  ; 
0x001732f8: adc al, 0x41 ; ret  ; 
0x001734a0: adc al, 0x41 ; ret  ; 
0x0017350f: adc al, 0x41 ; ret  ; 
0x001736a0: adc al, 0x41 ; ret  ; 
0x00173709: adc al, 0x41 ; ret  ; 
0x00173934: adc al, 0x41 ; ret  ; 
0x00173960: adc al, 0x41 ; ret  ; 
0x00173975: adc al, 0x41 ; ret  ; 
0x00173a05: adc al, 0x41 ; ret  ; 
0x00173a1d: adc al, 0x41 ; ret  ; 
0x00173a5c: adc al, 0x41 ; ret  ; 
0x00173a73: adc al, 0x41 ; ret  ; 
0x00173c40: adc al, 0x41 ; ret  ; 
0x00173c58: adc al, 0x41 ; ret  ; 
0x00173cbb: adc al, 0x41 ; ret  ; 
0x00173cef: adc al, 0x41 ; ret  ; 
0x00173e3f: adc al, 0x41 ; ret  ; 
0x001740df: adc al, 0x41 ; ret  ; 
0x0017414b: adc al, 0x41 ; ret  ; 
0x00174566: adc al, 0x41 ; ret  ; 
0x001745b4: adc al, 0x41 ; ret  ; 
0x00174608: adc al, 0x41 ; ret  ; 
0x001746e2: adc al, 0x41 ; ret  ; 
0x00174953: adc al, 0x41 ; ret  ; 
0x00174969: adc al, 0x41 ; ret  ; 
0x00174b84: adc al, 0x41 ; ret  ; 
0x00174c3c: adc al, 0x41 ; ret  ; 
0x00174d83: adc al, 0x41 ; ret  ; 
0x00174dcb: adc al, 0x41 ; ret  ; 
0x00174de1: adc al, 0x41 ; ret  ; 
0x00174e1a: adc al, 0x41 ; ret  ; 
0x00174e86: adc al, 0x41 ; ret  ; 
0x00174ed2: adc al, 0x41 ; ret  ; 
0x001751ed: adc al, 0x41 ; ret  ; 
0x00175385: adc al, 0x41 ; ret  ; 
0x00175761: adc al, 0x41 ; ret  ; 
0x00175783: adc al, 0x41 ; ret  ; 
0x00175811: adc al, 0x41 ; ret  ; 
0x00175834: adc al, 0x41 ; ret  ; 
0x001758e4: adc al, 0x41 ; ret  ; 
0x00175fdf: adc al, 0x41 ; ret  ; 
0x00176004: adc al, 0x41 ; ret  ; 
0x00176145: adc al, 0x41 ; ret  ; 
0x001761cf: adc al, 0x41 ; ret  ; 
0x0017633a: adc al, 0x41 ; ret  ; 
0x00176894: adc al, 0x41 ; ret  ; 
0x001769b3: adc al, 0x41 ; ret  ; 
0x00176e5c: adc al, 0x41 ; ret  ; 
0x00176f30: adc al, 0x41 ; ret  ; 
0x00177090: adc al, 0x41 ; ret  ; 
0x001771a0: adc al, 0x41 ; ret  ; 
0x001773cd: adc al, 0x41 ; ret  ; 
0x0017756f: adc al, 0x41 ; ret  ; 
0x001775d0: adc al, 0x41 ; ret  ; 
0x00177686: adc al, 0x41 ; ret  ; 
0x0017769c: adc al, 0x41 ; ret  ; 
0x00177703: adc al, 0x41 ; ret  ; 
0x00177777: adc al, 0x41 ; ret  ; 
0x00177797: adc al, 0x41 ; ret  ; 
0x001777ad: adc al, 0x41 ; ret  ; 
0x0017780d: adc al, 0x41 ; ret  ; 
0x00177905: adc al, 0x41 ; ret  ; 
0x00177b91: adc al, 0x41 ; ret  ; 
0x00177cd4: adc al, 0x41 ; ret  ; 
0x00178588: adc al, 0x41 ; ret  ; 
0x0017874c: adc al, 0x41 ; ret  ; 
0x0017879a: adc al, 0x41 ; ret  ; 
0x001787ca: adc al, 0x41 ; ret  ; 
0x00178887: adc al, 0x41 ; ret  ; 
0x00178bf0: adc al, 0x41 ; ret  ; 
0x00178d0b: adc al, 0x41 ; ret  ; 
0x00178dde: adc al, 0x41 ; ret  ; 
0x00178eaf: adc al, 0x41 ; ret  ; 
0x00178f13: adc al, 0x41 ; ret  ; 
0x00178f94: adc al, 0x41 ; ret  ; 
0x001790a6: adc al, 0x41 ; ret  ; 
0x00179174: adc al, 0x41 ; ret  ; 
0x0017920f: adc al, 0x41 ; ret  ; 
0x00179653: adc al, 0x41 ; ret  ; 
0x001796c4: adc al, 0x41 ; ret  ; 
0x0017998e: adc al, 0x41 ; ret  ; 
0x00179aa9: adc al, 0x41 ; ret  ; 
0x00179b9c: adc al, 0x41 ; ret  ; 
0x00179cbb: adc al, 0x41 ; ret  ; 
0x00179cfc: adc al, 0x41 ; ret  ; 
0x00179d78: adc al, 0x41 ; ret  ; 
0x00179dbf: adc al, 0x41 ; ret  ; 
0x00179e20: adc al, 0x41 ; ret  ; 
0x00179e36: adc al, 0x41 ; ret  ; 
0x00179eda: adc al, 0x41 ; ret  ; 
0x0017a055: adc al, 0x41 ; ret  ; 
0x0017a0d3: adc al, 0x41 ; ret  ; 
0x0017a136: adc al, 0x41 ; ret  ; 
0x0017a14d: adc al, 0x41 ; ret  ; 
0x0017a365: adc al, 0x41 ; ret  ; 
0x0017a388: adc al, 0x41 ; ret  ; 
0x0017a3ed: adc al, 0x41 ; ret  ; 
0x0017a40f: adc al, 0x41 ; ret  ; 
0x0017a47c: adc al, 0x41 ; ret  ; 
0x0017a737: adc al, 0x41 ; ret  ; 
0x0017a756: adc al, 0x41 ; ret  ; 
0x0017a7fb: adc al, 0x41 ; ret  ; 
0x0017a879: adc al, 0x41 ; ret  ; 
0x0017a8ce: adc al, 0x41 ; ret  ; 
0x0017a9b1: adc al, 0x41 ; ret  ; 
0x0017a9c6: adc al, 0x41 ; ret  ; 
0x0017ab56: adc al, 0x41 ; ret  ; 
0x0017abcd: adc al, 0x41 ; ret  ; 
0x0017ac4a: adc al, 0x41 ; ret  ; 
0x0017ad87: adc al, 0x41 ; ret  ; 
0x0017af27: adc al, 0x41 ; ret  ; 
0x0017af72: adc al, 0x41 ; ret  ; 
0x0017b000: adc al, 0x41 ; ret  ; 
0x0017b0be: adc al, 0x41 ; ret  ; 
0x0017b196: adc al, 0x41 ; ret  ; 
0x0017b1b6: adc al, 0x41 ; ret  ; 
0x0017b1cc: adc al, 0x41 ; ret  ; 
0x0017b315: adc al, 0x41 ; ret  ; 
0x0017b3d2: adc al, 0x41 ; ret  ; 
0x0017b484: adc al, 0x41 ; ret  ; 
0x0017b582: adc al, 0x41 ; ret  ; 
0x0017b6ec: adc al, 0x41 ; ret  ; 
0x0017b817: adc al, 0x41 ; ret  ; 
0x0017b854: adc al, 0x41 ; ret  ; 
0x0017b922: adc al, 0x41 ; ret  ; 
0x0017b9d4: adc al, 0x41 ; ret  ; 
0x0017bb4e: adc al, 0x41 ; ret  ; 
0x0017bba5: adc al, 0x41 ; ret  ; 
0x0017bbe0: adc al, 0x41 ; ret  ; 
0x0017bc34: adc al, 0x41 ; ret  ; 
0x0017bc4a: adc al, 0x41 ; ret  ; 
0x0017bce7: adc al, 0x41 ; ret  ; 
0x0017bd56: adc al, 0x41 ; ret  ; 
0x0017bd95: adc al, 0x41 ; ret  ; 
0x0017c115: adc al, 0x41 ; ret  ; 
0x0017c220: adc al, 0x41 ; ret  ; 
0x0017c258: adc al, 0x41 ; ret  ; 
0x0017c2e5: adc al, 0x41 ; ret  ; 
0x0017c548: adc al, 0x41 ; ret  ; 
0x0017c568: adc al, 0x41 ; ret  ; 
0x0017c58d: adc al, 0x41 ; ret  ; 
0x0017c6a5: adc al, 0x41 ; ret  ; 
0x0017c711: adc al, 0x41 ; ret  ; 
0x0017c744: adc al, 0x41 ; ret  ; 
0x0017c7a3: adc al, 0x41 ; ret  ; 
0x0017c848: adc al, 0x41 ; ret  ; 
0x0017ca6d: adc al, 0x41 ; ret  ; 
0x0017caef: adc al, 0x41 ; ret  ; 
0x0017cb44: adc al, 0x41 ; ret  ; 
0x0017cc6c: adc al, 0x41 ; ret  ; 
0x0017d05c: adc al, 0x41 ; ret  ; 
0x0017d36e: adc al, 0x41 ; ret  ; 
0x0017d4d0: adc al, 0x41 ; ret  ; 
0x0017d51b: adc al, 0x41 ; ret  ; 
0x0017d568: adc al, 0x41 ; ret  ; 
0x0017d645: adc al, 0x41 ; ret  ; 
0x0017d65a: adc al, 0x41 ; ret  ; 
0x0017d6a3: adc al, 0x41 ; ret  ; 
0x0017d70c: adc al, 0x41 ; ret  ; 
0x0017d734: adc al, 0x41 ; ret  ; 
0x0017da26: adc al, 0x41 ; ret  ; 
0x0017db07: adc al, 0x41 ; ret  ; 
0x0017db7e: adc al, 0x41 ; ret  ; 
0x0017dbbe: adc al, 0x41 ; ret  ; 
0x0017e010: adc al, 0x41 ; ret  ; 
0x0017e07c: adc al, 0x41 ; ret  ; 
0x0017e0ff: adc al, 0x41 ; ret  ; 
0x0017e52b: adc al, 0x41 ; ret  ; 
0x0017e5f0: adc al, 0x41 ; ret  ; 
0x0017e66c: adc al, 0x41 ; ret  ; 
0x0017e705: adc al, 0x41 ; ret  ; 
0x0017e785: adc al, 0x41 ; ret  ; 
0x0017e7e6: adc al, 0x41 ; ret  ; 
0x0017e928: adc al, 0x41 ; ret  ; 
0x0017e97f: adc al, 0x41 ; ret  ; 
0x0017e9f4: adc al, 0x41 ; ret  ; 
0x0017ea13: adc al, 0x41 ; ret  ; 
0x0017ea2a: adc al, 0x41 ; ret  ; 
0x0017eace: adc al, 0x41 ; ret  ; 
0x0017eb88: adc al, 0x41 ; ret  ; 
0x0017eca0: adc al, 0x41 ; ret  ; 
0x0017ecbe: adc al, 0x41 ; ret  ; 
0x0017ed33: adc al, 0x41 ; ret  ; 
0x0017ee57: adc al, 0x41 ; ret  ; 
0x0017ee75: adc al, 0x41 ; ret  ; 
0x0017ef90: adc al, 0x41 ; ret  ; 
0x0017f08d: adc al, 0x41 ; ret  ; 
0x0017f0b1: adc al, 0x41 ; ret  ; 
0x0017f119: adc al, 0x41 ; ret  ; 
0x0017f17c: adc al, 0x41 ; ret  ; 
0x0017f1f6: adc al, 0x41 ; ret  ; 
0x0017f4ef: adc al, 0x41 ; ret  ; 
0x0017f533: adc al, 0x41 ; ret  ; 
0x0017f87c: adc al, 0x41 ; ret  ; 
0x0017f892: adc al, 0x41 ; ret  ; 
0x0017f8a8: adc al, 0x41 ; ret  ; 
0x0017f8d4: adc al, 0x41 ; ret  ; 
0x0017f8ea: adc al, 0x41 ; ret  ; 
0x0017f900: adc al, 0x41 ; ret  ; 
0x0017f915: adc al, 0x41 ; ret  ; 
0x0017fd28: adc al, 0x41 ; ret  ; 
0x0017fde0: adc al, 0x41 ; ret  ; 
0x0017fe1d: adc al, 0x41 ; ret  ; 
0x0018180a: adc al, 0x41 ; ret  ; 
0x00184758: adc al, 0x41 ; ret  ; 
0x0018476e: adc al, 0x41 ; ret  ; 
0x00184784: adc al, 0x41 ; ret  ; 
0x001847e8: adc al, 0x41 ; ret  ; 
0x0018484c: adc al, 0x41 ; ret  ; 
0x00184899: adc al, 0x41 ; ret  ; 
0x001848c7: adc al, 0x41 ; ret  ; 
0x0018493f: adc al, 0x41 ; ret  ; 
0x001849ef: adc al, 0x41 ; ret  ; 
0x00184a07: adc al, 0x41 ; ret  ; 
0x00184cdb: adc al, 0x41 ; ret  ; 
0x00184e51: adc al, 0x41 ; ret  ; 
0x00184ecb: adc al, 0x41 ; ret  ; 
0x00184f0c: adc al, 0x41 ; ret  ; 
0x00184f9c: adc al, 0x41 ; ret  ; 
0x001850c6: adc al, 0x41 ; ret  ; 
0x0018536f: adc al, 0x41 ; ret  ; 
0x00185729: adc al, 0x41 ; ret  ; 
0x00185815: adc al, 0x41 ; ret  ; 
0x00185919: adc al, 0x41 ; ret  ; 
0x00185a39: adc al, 0x41 ; ret  ; 
0x00185c14: adc al, 0x41 ; ret  ; 
0x00185d72: adc al, 0x41 ; ret  ; 
0x00185d9c: adc al, 0x41 ; ret  ; 
0x00185dd3: adc al, 0x41 ; ret  ; 
0x00185e21: adc al, 0x41 ; ret  ; 
0x001863f0: adc al, 0x41 ; ret  ; 
